港澳頻道,#genre#
TVB J1,http://cdn3.132.us.kg/live/j1/stream.m3u8
TVB PLUS,http://cdn.132.us.kg/live/tvbp/stream.m3u8
HOY TV,http://cdn.132.us.kg/live/hoy/stream.m3u8
鳳凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
鳳凰資訊,http://cdn3.132.us.kg/live/fhzx/stream.m3u8
重溫經典,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
澳視澳門,http://cdn.132.us.kg/live/asam/stream.m3u8
澳視衛星,http://cdn.132.us.kg/live/as/stream.m3u8
廣東體育,http://cdn2.132.us.kg/live/gdty/stream.m3u8
翡翠台4K,http://cdn.132.us.kg/live/fct4k/stream.m3u8
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
八度空間,http://php.jdshipin.com/smt.php?id=TV8
千禧經典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
華麗翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
天映頻道, http://php.jdshipin.com/smt.php?id=Celestial
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
歡喜台,http://php.jdshipin.com/smt.php?id=Huahee
QJ,http://php.jdshipin.com/smt.php?id=Quanjia
愛奇藝,http://php.jdshipin.com/smt.php?id=Qiyi
天映經典,http://php.jdshipin.com/smt.php?id=Celestial2
無線新聞台, http://php.jdshipin.com/smt.php?id=inews_twn
娛樂新聞台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
翡翠,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8
AOD,http://php.jdshipin.com/smt.php?id=Aodhd
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
華麗翡翠台,http://php.jdshipin.com/smt.php?id=Tvbjade
無線新聞台, http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河, http://php.jdshipin.com/smt.php?id=Xinhe
千禧經典台, http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娛樂新聞台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映頻道, http://php.jdshipin.com/smt.php?id=Celestial
天映經典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
